content,score,text_processed,topic
😭😭 woi ini game nya apa hp gua yang eror!!. gak bisa bhasa inggres gua.. padahal pen tau ceritanya yah terpaksa w uninstall nanti kalo udah update w install balik,4,woi eror tidak bhasa inggres pen tau yah paksa w uninstall update w install,koneksi
"Maaf saya kurangin jadi 3 bintang dan berhenti bermain Dulu, setelah di upgrade text indonesia nya tidak ada. Mohon di perbaikin dahulu karena ini game versi indonesia jadi mohon utamakan bahasa indonesia. Setelah kembali seperti awal nnti bintang di naikan lagi dan saya akan bermain game ini kembali. Thanks",3,maaf bintang henti main upgrade text indonesia tidak mohon perbaikin versi indonesia utamakan bahasa indonesia nnti bintang naikan main thanks,bahasa atau cerita
"Terlalu banyak makan waktu, tidak bisa sama sekali dipakai multitasking padahal dulu bisa,sekarang auto-pause, bahasa juga gak dikasih pilihan,minimal kasih fitur skip atau x4,exp juga terlalu pelit dibanding perlunya strategi berbeda beda untuk advance campaign,gacha banner juga ampas banget, sebelum diperbaiki uninstall dulu",1,makan tidak dipakai multitasking auto pause bahasa tidak dikasih pilih minimal fitur skip exp pelit dibanding strategi beda beda advance campaign gacha banner ampas banget diperbaiki uninstall,bahasa atau cerita
Keseluruhan bagus tapi gatcha rate B5 tolong diperbaiki dan untuk new player setidaknya bisa mendapatkan B5 diawal gatcha untuk memotivasi. Trims,4,bagus gatcha rate tolong diperbaiki new player diawal gatcha motivasi trims,karakter gacha
"Gamenya bagus, coba aja kalo enggak percaya. Ditunggu updet terbarunya.",5,bagus coba percaya ditunggu updet,bahasa atau cerita
Bahasa indonesia dong ngga bisa bahasa inggris,5,bahasa indonesia bahasa inggris,bahasa atau cerita
"Gak paham login nya please, jangan di buat susah baru juga download blm mainin game nya kirain buat akunnya gampang taunya ribet banget, di permudah untuk membuat aku please",1,tidak paham login please susah download blm mainin kirain gampang taunya ribet banget permudah please,koneksi
"Gamenya bagus, tapi ada masalah log in saya mencoba untuk log in berkali-kali sampai handphone saya mulai ulang, mohon diperbaiki secepatnya :),dan hiraukan saja yang berkomentar tidak penting dan mengganggu :)",5,bagus log coba log berkali kali handphone ulang diperbaiki cepat hiraukan komentar tidak ganggu,koneksi
"Sudah normal lagi setelah uninstall baru instal kembali 🤷, kekurangan nya belum ada pilihan untuk bahasa,",3,normal uninstall instal pilih bahasa,koneksi
"Gamenya keren banget, ini tinggal update tambah bahasa Indonesia jadi tambah keren lagi",5,keren banget tinggal update bahasa indonesia keren,bahasa atau cerita
"Lawak banget nih game, game buatan Indonesia tapi ga bisa ganti bahasa Indonesia",1,lawak banget indonesia tidak ganti bahasa indonesia,bahasa atau cerita
"Game nya baru aja regional launch jadi pakai bahasa Inggris. Tapi sepertinya di update berikutnya bakal ada opsi bahasa Indonesia. Gameplaynya untuk role based perlu dibuat lebih smooth. Overall UI nya juga masih agak ""kaku"". Tapi seiring waktu harusnya sih dipoles. Terima kasih, Indonesia butuh generasi kreatif seperti kakak-kakak developer sekalian.",4,regional launch pakai bahasa inggris update opsi bahasa indonesia gameplaynya role based smooth overall ui kaku iring dipoles terima kasih indonesia butuh generasi kreatif kakak kakak developer kali,bahasa atau cerita
nyoba dulu kakak kalau seru nanti saya kasih 5 bintang dan untuk sekarang 4 bintang dulu saya ingin tau lebih dulu alur cerita dan gameplay nya kalau seru saya kasih 5 bintang😀,4,nyoba kakak seru bintang bintang tau alur cerita gameplay seru bintang,bahasa atau cerita
Semoga ada update untuk pilihan bahasa indonesia nya. Terimakasih,3,update pilih bahasa indonesia,bahasa atau cerita
"Ceritanya sebenarnya seru, tapi sekarang bahasanya kenapa bahasa Inggris?, sebagai pengguna saya merasa sedikit terganggu. Saat saya ingin mengubah bahasa menjadi bahasa Indonesia, entah mengapa bahasa tidak bisa diganti. Saran saya lebih baik menggunakan bahasa Indonesia. Saya melihat ulasan dan banyak yang mengulas mengenai bahasanya, kalau boleh tau beberapa lama bahasa Indonesia bisa digunakan?. Sekian ulasan dari saya, saya harap pertanyaan saya bisa dijawab oleh pihak game Code Atma :)",5,seru bahasa inggris ganggu ubah bahasa bahasa indonesia bahasa tidak diganti saran bahasa indonesia lihat ulas ulas bahasanya tau bahasa indonesia kian ulas harap code,bahasa atau cerita
"Udah 2x install uninstall gara-gara gak bisa masuk game, cuman bisa masuk sampe tulisan telkom doang",2,install uninstall gara gara tidak masuk cuman masuk sampe tulis telkom doang,koneksi
"Pertama kali main sih asik tp setelah update bahasanya kok jadi Inggris ya, tolong developer ya kasih farian bahasa.",5,main asyik update inggris ya tolong developer ya kasih farian bahasa,bahasa atau cerita
Indo pride terus kembangin lagi semangat Agate games,5,indonesia pride semangat agate games,bahasa atau cerita
Mengapa fitur Bahasa Indonesianya kok menjadi tidak ada lagi? Susah untuk memahami alur cerita kalau tidak memakai Bahasa Indonesia. Saya akan kembalikan bintang 5-nya jika fitu Bahasa Indonesianya telah kembali ada.,3,fitur bahasa tidak susah paham alur cerita tidak pakai bahasa indonesia kembalikan bintang bahasa,bahasa atau cerita
Seru guys Untuk bahasa tolong di set manual atau beri kami option untuk memilih bahasa yg di inginkan.. Karena bahasa alur cerita malah di skip.,5,seru guys bahasa tolong set manual option pilih bahasa bahasa alur cerita skip,bahasa atau cerita
"Enggak bisa masuk ke dalam game-nya. Udah di uninstal, terus didownload lagi, tapi tetep gak bisa :(",1,tidak masuk uninstal didownload tetep tidak,koneksi
"bahasa masih ttp asing males maen,,luar negri ya luar negri bahasanya,dalam negri ya dalam negri,tidak bisa ya buat seperti itu kayak game sebelah? tutup saja kalau gak bisa buat seperti itu min admin",1,bahasa ttp asing males maen negeri ya negeri negeri ya negeri tidak ya belah tutup tidak admin,karya bangsa
"Gamenya udah ok dan segi game playnya yg memukau👍tapi masih masih harus banyak di update lagi atma barunya yg ada di Indonesia seperti Leak yg ada di bali dan wayang legend si Cepot🤭dan menurut aku sih seharusnya di setiap kita mau bertarung dan mengatur strategi harus ada lambang logo tank,rogue,healer,ranger,wizard nya di setiap gambar atmanya jadi kita tau setiap atmanya itu berperan sebagai apa dan mau kita pasang di mana depan atau belakang,dan tambakan add friend dan battle grub ya min😀",5,oke segi update atma indonesia leak bali wayang legend si cepotdan tarung atur strategi lambang logo tank rogue healer ranger wizard gambar tau atmanya peran pasang tambakan add friend battle grub ya min,bahasa atau cerita
Kak kalau summon banner tolong dong pisahkan normal summon banner sama event summon banner 🙏,5,kak summon banner tolong pisahkan normal summon banner event summon banner,bahasa atau cerita
Mohon maaf game sering keluar dengan sendirinya..ini kenapa ya min?,5,mohon maaf ya min,bahasa atau cerita
"Wahhhh gilee update yg baru ini cukup membantu, ditunggu update² yg lainnya dan makin berkembang gamenya yaa haha",5,wahhhh gilee update bantu ditunggu update kembang yaa haha,bahasa atau cerita
Pokok nya game ini the beast lah walapun gk ngerti bahasa Inggris tapi seru!,5,pokok beast tidak bahasa inggris seru,bahasa atau cerita
Bagus game nya... Tp ceritanya belum di perbarui lagi yaaaa... Ayo dong.. Penasaran... Hehehe.. Terus.. Tolong untuk bahasa di buat ke bahasa Indonesia lagi.. Game saya malah ga bisa rubah bahasa. Tetap di bahsa inggris.. Ada yang bisa bantu..?? Lebih ngerti cerita kalau pakai bahasa ibu sendiri... 🙏👍🏽😫😅,5,bagus perbarui yaaaa ayo penasaran hehehe tolong bahasa bahasa indonesia tidak rubah bahasa bahsa inggris bantu ngerti cerita pakai bahasa,bahasa atau cerita
semoga setelah update kali ini bahasa indonesia hadir lagi,1,moga update kali bahasa indonesia hadir,bahasa atau cerita
Tolong tambahkan terjemahan bahasa Indonesia dong,5,tolong tambahkan terjemah bahasa indonesia,bahasa atau cerita
Yang paling aku suka dari game ini adalah karakter / Atma nya👍👍👍👍 Tokoh hantu seram menjadi UwU Noni seperti karakter yandere🤣🤣,5,suka karakter atma tokoh hantu seram uwu noni karakter yandere,karya bangsa
"Desain karakter keren, musiknya sangat enak di dengar, ceritanya seru selalu bikin penasaran akan kelanjutannya, gameplay oke dan lumayan adiktif,masalahnya mungkin cuma musuh yg terlalu kuat sama dapetin exp nya terlalu lama kalau hanya mengandalkan idle nya. Overall game ini bagus, sangat recommended 💯👍.",5,karakter keren enak dengar seru penasaran gameplay oke lumbago adiktif musuh kuat exp andal idle overall bagus recommended,bahasa atau cerita
Game sangat bagus dan saya suka sekali ini game nya. Tetapi 1 kekurangan nya tidak di sediakan bhs. Indonesia 😰😰mohon segera di sediakan ya ka🙏🙏,5,bagus suka tidak sediakan bhs indonesia mohon sediakan ya ka,bahasa atau cerita
"Awalnya suka,, tapi sayang bahasa indonesianya jadi hilang, terpaksa jadi bintang 1",1,suka sayang bahasa hilang paksa bintang,bahasa atau cerita
mantap... bug yg sya laporkan lewat email lngsung diperbaiki.. 👍👍👍👍... tinggal nunggu bahasa indonesia aja nih.. 👌👌👍👍👍 mantap agate👍👍👍,5,bug sya laporkan email lngsung diperbaiki tinggal nunggu bahasa indonesia mantap agate,bahasa atau cerita
"Tolong kebalikan bahasa indonesia, biar bisa menikmati ceritanya",4,tolong bahasa indonesia biar nikmat,bahasa atau cerita
Biar bintang yg berbicara. Saya males buang2 waktu hanya untuk berkomentar,5,bintang bicara males komentar,koneksi
"seru banget, asiik pokoke.",5,seru banget asiik pokoke,bahasa atau cerita
"Bagus banget game nya, awalnya aku liat ini game ini biasa aja dan pikir ini bosenin, tapi habis download ketagihan 😂👍 next mau tanya kapan ya ada translate bhs indo nya? Sama saran dr aku banyakin ya scene Kasna Ama seeter nya,(scene romance GT) wkwkwwkwk oke makasih, sekian terima gaji.",5,bagus banget liat pikir bosenin habis download tagih next ya translate bhs indonesia saran ya scene kasna seeter scene romance gt wkwkwwkwk oke makasih kian terima gaji,bahasa atau cerita
"Ya, gamenya bagus dan tolong ditingkatkan kembali performa gamenya. dan Terima kasih😘💕",5,bagus tolong ditingkatkan performa gamenya terima,bahasa atau cerita
Semua update sdh lbh baik..cuma harapanku di game ini bs berinteraksi dg shaker lainnya saat kita on agar tdk membosankan klo ngegame sendiri,5,update sdh lbh harap bs interaksi dg shaker tidak bosan ngegame,bahasa atau cerita
"Maaf sebelum nya untuk update ke depan nya bisakah terdapat bahasa lain selain bahasa Inggris, karena untuk setting hanya terdapat bahasa Inggris saja . Terimakasih 🙏🏻",4,maaf update bahasa bahasa inggris setting bahasa inggris,bahasa atau cerita
So far So Good... But I cant Bind my Account...,3,far good cant bind account,koneksi
"Saya sangat suka dengan game ini. Kalau bisa kasih dong opsi beberapa bahasa, dan juga masalah hari dan tanggalnya salah",4,suka opsi bahasa salah,bahasa atau cerita
Game jelek !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! TAPI BO'ONG YAHAHA Palpale pal pale,5,jelek bo ong yahaha palpale pal pale,bahasa atau cerita
"Good job , good game , very like it !!!!",5,good job good like,bahasa atau cerita
"Hi kak sy suka sm game ini tp knp yah, d apk sy tdk bs menganti/menggunakan bhs indonesia, agar sy bs mengerti bhs dan alur ceritanya, sekian terimakasih",4,hi kak suka sm knp yah apk tidak bs menganti bhs indonesia bs erti bhs alur ceritanya kian,bahasa atau cerita
"Masih min ,nanti saya coba install ulang lagi aja min Dan Game nya sangat seru",5,min coba install ulang min seru,koneksi
"Kenapa bahasanya tiba² jadi bahasa inggris padahal aku nggak ngerasa ngubah pengaturan bahasa -_- mana nggak bisa diubah lagi, terus tombol kembali diklik berkali² juga ga bisa keluar :)",2,bahasa inggris tidak ngerasa ngubah atur bahasa tidak diubah tombol diklik berkali tidak,bahasa atau cerita
"Game nya bagus, desain karakter dari cerita indonesia juga keren. Cuma untuk segi game karakter belum gerak. Terima kasih kepada developer game",5,bagus karakter cerita indonesia keren segi karakter gerak kasih developer,bahasa atau cerita
"Wow patut di apresiasi untuk game ini dari segi cerita gameplay dan palinh saya suka itu sistem Afk offline nya, kritik saya dari segi performa game agak sedikit turun untuk Ram 3gb seperti saya terkadang sering keluar sendiri, dan untuk saran saya itu dari sistem login game tolong di permudah lagi dan story mungkin ditambah lagi biar menarik Sekian dari saya",5,wow patut apresiasi segi cerita gameplay palinh suka sistem afk offline kritik segi performa turun ram kadang saran sistem login tolong permudah story ditambah biar tarik kian,bahasa atau cerita
Aplikasi ini sangat bagus tapi kenapa setiap saya main selalu buffering dan selalu menghubungkan ulang padahal jaringan saya lancar bahkan untuk aplikasi lainpun lancar kecuali aplikasi ini. Tolong di bantu untuk jaringannya,3,aplikasi bagus main buffering hubung ulang jaring lancar aplikasi lancar kecuali aplikasi tolong bantu,koneksi
Pengalaman saya saat memainkan game ini buruk karena saat bermain selalu ngelag mohon perbaikannya,2,alam main buruk main ngelag mohon,perangkat hp
Best Classic RPG Turn Based With Indonesian Folklore Culture,5,best classic rpg turn based indonesian folklore culture,karya bangsa
"Bagus, Mantap! Gamenya unik buatan anak bangsa yang pake karakter hantu Indonesia wkwkkw, gameplaynya enak, Atma-atma-nya juga unik², next update tambahin bahasa Indonesia min biar player yang agak kurang menguasai bahasa Inggris paham alur ceritanya, sekian terimakasih^^",5,bagus unik anak bangsa pake karakter hantu indonesia wkwkkw gameplaynya enak atma atma unik next update bahasa indonesia min biar player kuasa bahasa inggris paham alur ceritanya kian,bahasa atau cerita
"Kak tolong di naikan LV power nya, saya memiliki Hero Lohita LV 100 naikan lagi, susah lawan [ Hard ] Struggling Together lV",5,kak tolong naikan lv power milik hero lohita lv naikan susah lawan hard struggling together lv,bahasa atau cerita
"Gachanya ga ampas 🗿👍🏻, story gamenya juga bagus",5,tidak ampas story bagus,bahasa atau cerita
"masih close sendirii,padahal udh aku apusin apk yg berjalan di latar belakang.close nya ketika akan membuka atma,summon,dll",2,close sendirii apusin apk jalan latar close buka atma summon dll,perangkat hp
"Buat saran aja , tambahkan fitur reset material hero biar bisa balikin resource yang udah kepake di hero lama",5,saran tambahkan fitur reset material hero biar resource kepake hero,bahasa atau cerita
"Game yang bagus, tapi tidak seperti ekspetasi saya, diawal awal game saya sudah diberikan ekspetasi yg tinggi tapi ternyata gamenya hanya seperti game yg lain, hanya berbeda di bagian visualnya saja, tapi tetaplah dikembangkan gamenya 👍",2,bagus tidak ekspetasi diawal ekspetasi nyata beda dikembangkan,karakter gacha
"saya pengen ada bahasa indonesia secepatnya,game ini bagus.. 🙏",4,pengen bahasa indonesia cepat bagus,bahasa atau cerita
"Bagus,tapi sayangnya saya tidak bisa login ke akun saya,apa karena akun saya dulu dapat akses awal? Ya saya tidak tahu. Saya sudah install 2x mulai dari login pakai akun agate saya, sampai buat akun baru saya tetap tidak bisa masuk. Hapus cache? Sudah. Ah sayang sekali",3,bagus tidak login akun akun akses ya tidak install login pakai akun agate akun tidak masuk hapus cache ah sayang,koneksi
Ribet Baru mau login aja harus daftar dlu G bisa login lewat gmail atw fb Baru install apk nya langsung d uninstall Ribet dah pokok nya,1,ribet login daftar tidak gmail atw fb install apk uninstall ribet dah pokok,koneksi
Ga bisa kah bikin optional bahasa ??? Yg udah sempurna malah di bikin ngawur....turunin lah dari bintang 5 ke 1,1,tidak optional bahasa ngawur turunin bintang,bahasa atau cerita
"Game ini baguuus banget walaupun bahasa inggris ""but its ok "" karena dapat melatih bahasa inggris kita lalu ini game bikinan anak bangsa lagi widiiiih keren banget ceritanya juga bagus awal awal cerita nya ada orang yg mau bunuh diri tau, Ya itu aja ya hmm ok",5,baguuus banget bahasa inggris oke latih bahasa inggris bikin anak bangsa widiiiih keren banget bagus cerita orang bunuh tau ya ya hmm oke,bahasa atau cerita
Game nya bagus tapi kalo orang yg gak bisa bahasa Inggris jadi kurang ngerti sama ni game Btw kapan mau update bahasa Indonesia?,5,bagus orang tidak bahasa inggris ngerti btw update bahasa indonesia,bahasa atau cerita
Tetep pengin nyoba walaupun gak bisa bahasa Inggris 😆,4,tetep pengin nyoba tidak bahasa inggris,bahasa atau cerita
"bagus sangatt.. tapi.... kapan update lagi min, daku ga faham English min.. kurang greget kalo pake English 😭😭😭😭",5,bagus sangatt update min daku tidak paham english min gereget pake english,bahasa atau cerita
Tolong dong pengaturan bahasanya gak bisa padahal aku seneng banget mainnya,5,tolong atur tidak seneng banget,bahasa atau cerita
Game nya bagus cocok untuk rebahan seharian di rumah:v di tambah ada visual novelnya lagi uahhlaaaa muanteppp nihhh gamenya👍👍👍👍👍👍,5,bagus cocok rebah rumah v visual uahhlaaaa muanteppp nihhh,karakter gacha
Semoga ajh ada anime nya:) di jadiin anime bagus nih gw suka banget sama alur ceritanya sampai² gw ke bawah perasaan. Mantep dah game nya,5,ajh anime jadiin anime bagus suka banget alur ceritanya mantep dah,bahasa atau cerita
"Suka jalan ceritanya, keren!!",5,suka jalan ceritanya keren,bahasa atau cerita
"Tanggalnya tolong diperbaiki ya, saya tidak tahu tanggal dan hari apa yang situ pake, soalnye tanggal dan hari kan sama kan? ama yg sekarang. Aye tunggu updatenye ye. •̀.̫•́✧",5,tolong diperbaiki ya tidak tanggal situ pake soalnye tanggal aye tunggu updatenye ye,bahasa atau cerita
Gg.. Semoga gachanya ttp bagus,5,gg moga gachanya ttp bagus,karakter gacha
"Game nya lumayan bagus dan masih ada yang kurang. atma nya tolong di tamabahin lgi, Kalau bisa tambahkan fitur seperti pokemon go bisa menangkap atma dan bisa jalan kemana-mana Dan satu lgi tambahkan level stage. Sekian dari aku semoga di respon terima kasih",5,lumbago bagus atma tolong tamabahin lgi tambahkan fitur pokemon go tangkap atma jalan kemana lgi tambahkan level stage kian moga respons terima,bahasa atau cerita
Di coba dulu ya kalau mantap game nya nanti di tambah lgi bintang nya...,3,coba ya mantap lgi bintang,bahasa atau cerita
kak ini kenapa bahasanya ga bisa diganti jadi indo ╥﹏╥,5,kak tidak diganti indonesia,bahasa atau cerita
Game ini bagusss bangettttt 👍🏻👍🏻👍🏻 tapi tolong dengan sangat cepat update bahasa Indonesia dong 😭,5,bagusss bangettttt tolong cepat update bahasa indonesia,bahasa atau cerita
"Dimohon untuk diperbaiki,masih tetap stuck di login,selalu kembali ke awal.Padahal sudah di clear cache browser nya. Login guest juga tidak bisa bind akun dan selalu tertulis no linked di profilnya.",3,dimohon diperbaiki stuck login clear cache browser login guest tidak bind akun tulis linked,koneksi
"Game nya bagus bikin ketagihan, sekedar saran kendala pada bahasa aja",5,bagus tagih saran kendala bahasa,bahasa atau cerita
"Tolong diberi fitur mengganti bahasa min, karena bahasa inggrisnya sangat aneh",5,tolong fitur ganti bahasa min bahasa aneh,bahasa atau cerita
Habis instal ulang mantep lagi lur😂💓,5,habis instal ulang mantep lur,koneksi
"Game nya bagus banget apalagi buatan anak bangsa tapi tadi aku ketemu kendala kok tibatiba waktu aku buka apk nya bahasanya ke b.inggris waktu aku mau ubah malah ga bisa di tekan,,, tolong kasih pencerahannya dong,,, aku mau main dengan b.indo biar lebih paham alurnyaa",5,bagus banget anak bangsa ketemu kendala tibatiba buka apk b inggris ubah tidak tekan tolong kasih main b indonesia biar paham alurnyaa,bahasa atau cerita
"Semangat developer..... Sudah membuat game sebaik mungkin. Para downloader kalo mau download game ini, periksa spek hp kalian. Spek RAM 2 gb gak kuat, RAM 3 gb baru lancar. Maaf kalo ada yang gak suka sama saran aku. Tapi sudah saya buktikan sendiri pake hp saya dan adik saya. Sekian saran untuk downloader. Ada saran nih untuk developer, tanggapin semaksimal mungkin keluhan dari player, Agar game nya maju. Jangan cuma game luar aja yang maju, game dari indo juga harus bisa maju...👍👍",5,semangat developer downloader download periksa spek hp spek ram gb tidak kuat ram gb lancar maaf tidak suka saran buktikan pake hp adik kian saran downloader saran developer tanggapin semaksimal keluh player maju maju indonesia maju,bahasa atau cerita
Keren coba andaikan bisa open world,5,keren coba andai open world,karakter gacha
Saya baru download game ini karena rec dari temen saya tapi waktu selesai menginstall game nya nge stuck di tulisan oolean dan gk bisa masuk ke game lalu saya coba reinstall tapi hasil nya sama,2,download rec temen selesai menginstall nge stuck tulis oolean tidak masuk coba reinstall hasil,koneksi
"Secara semua nya baik dan memuaskan tetapi ini kan game buatan anak bangsa ya, knp gabisa pakai bahasa Indonesia pdhl lebih enak liat pake bahasa Indonesia",5,puas anak bangsa ya knp pakai bahasa indonesia pdhl enak liat pake bahasa indonesia,bahasa atau cerita
"Bagus sih tapi masalahnya bahasanya kok jadi bahasa Inggris😭 terus nasib gua gimana?, gua gak bisa bahasa Inggris, tolonglah di balikin kayak dulu, atau bahasanya bisa di ganti kalok kek gini gua jadi males main padahal game nya asik banget༎ຶ‿༎ຶ ya kalik gua bolak-balik ke google translate (っ˘̩╭╮˘̩)っ gua nunggu sampe bisa di ganti bahasa indo sebelum itu gua gak main kode Atma dulu (maaf kalok agak kasar🙃 masalahnya gua juga jadi males main)",3,bagus bahasa inggris nasib gimana tidak bahasa inggris tolonglah ganti kalok kek males main asyik banget ya kalik bolak google translate nunggu sampe ganti bahasa indonesia tidak kode atma maaf kalok kasar males main,bahasa atau cerita
"Bagus gamenya yg kurang cuma servernya tolong distabilkan karena saya pake paketan sinyal 4G tetep ngelag terus saya coba buka aplikasi lainnya seperti youtube ,instagram baik baik saja",5,bagus tolong distabilkan pake paketan sinyal tetep ngelag coba buka aplikasi youtube instagram,koneksi
"Game nya bagus, tapi kok Bahasa nya ga bisa di ganti ya, padahal dlu game nya Bahasa Indonesia tapi sekarang malah jadi Bahasa Inggris trs ga bisa di ganti",4,bagus bahasa tidak ganti ya bahasa indonesia bahasa inggris trs tidak ganti,bahasa atau cerita
Maaf saya kasih bintang 4 karena gak ada bahasa indonesia nya jadi kalo campaign ada dialog saya skip karena bingung banget tapi game ini seru banget ya saran saya sih kasih pilihan bahasa aja,4,maaf bintang tidak bahasa indonesia campaign dialog skip bingung banget seru banget ya saran kasih pilih bahasa,bahasa atau cerita
Semua udah top lah mantap tapi tolong fix lag nya masih patah patah gitu fpsnya drop,1,top tolong fix lag patah patah drop,perangkat hp
"Bagus sih, ada unsur budaya nya tapi kadang kalo mau upgrade Atma nya loading trs pdahal sinyal ok ok aja",3,bagus unsur budaya kadang upgrade atma loading trs pdahal sinyal oke oke,bahasa atau cerita
"Min mau ngasih saran di update selanjutnya apakah mau di kasih tempat untuk menyusun line up 1, 2, 3 soalnya kalau harus ganti ganti line up di battle ribet min oh ya min gw gak bisa basa enggress",4,min ngasih saran update kasih susun line ganti ganti line battle ribet min oh ya min tidak basa enggress,bahasa atau cerita
gua kira gamenya offline ternyata online mohon maaf ya saya kasih bintang 3 dulu ya saya kasih saran sediain mode offline ya terimakasih gamenya bagus kok,3,offline nyata online mohon maaf ya bintang ya kasih saran sediain mode offline bagus,bahasa atau cerita
Kok pakai BHS Inggris dulu indo loh 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 Kembalikan BHS indo lagi Dev,4,pakai bhs inggris indonesia loh kembalikan bhs indonesia dev,bahasa atau cerita
Min adain mode offline dong buat apa online kalo tetep ngelawan bot lebik baik ada online sama offline yang online bisa ngelawan player lain mohon ya min 🙏🏻,4,min adain mode offline online tetep ngelawan bot lebik online offline online ngelawan player mohon ya min,bahasa atau cerita
"Dari segi animasi,effect,sound udah bagus bangeet,tapi masih agak ngeframe(Mungkin faktor device hehe) dan sering terputus jaringannya padahal udah 4G sementara buat aplikasi lain lancar.ceritanya juga menarik atmosfer nya kerasa dan ada 'choose better' -nya.untuk masalah bahasa si dimaklumi karena saya yakin kalian ingin masuk pasar yang lebih luas, tapi yaa kasian juga sih orang indo yang gabisa b Inggris semoga cepet ada indo nya okee?. Terimakasih dev semoga semakin sukses amiin",5,segi animasi effect sound bagus bangeet ngeframe faktor device hehe putus aplikasi lancar tarik atmosfer kerasa choose better bahasa si dimaklumi masuk pasar luas yaa kasian orang indonesia gabisa b inggris moga cepat indonesia okee terimakasih dev sukses amiin,bahasa atau cerita
udah bisa kok udah lumayan enak dimainin. Hanya sekarang kenapa w download resource updatean 72 mb ato berapa itu bukannya nambah kok malah ngurang terus y? ಥ‿ಥ W baru mo main lagi malah gini edit : ini kenapa jadi bahasa inggris ಥ‿ಥ bahasa indo nya mana euyy,5,lumbago enak dimainin w download resource updatean mb ato nambah ngurang w mo main gini edit bahasa inggris bahasa indonesia euyy,bahasa atau cerita
"Berat banget gamenya, ga rekomended, uninstall...",1,berat banget tidak rekomended uninstall,perangkat hp
"Tema game nya dari Indonesia, tapi bahasa Indonesia nya malah gak ada, aneh,",1,tema indonesia bahasa indonesia tidak aneh,bahasa atau cerita
"Bahasanya gak bisa di ganti, Klo memang untuk tujuan market global, knp yg udah lama main di bikin susah,? gk semua orang ngerti bahasa Inggris, jadi males main ni game, awal nya seru, makin kesini makin nyusahin,",2,tidak ganti tuju market global knp main susah tidak orang bahasa inggris males main seru kesini nyusahin,bahasa atau cerita
"Gamenya Sdh sangat Bagus tapi yg Kurang Hanya bahasanya, knp yg awalnya Bahasa Indonesia Berubah Jadi Inggris, Dan Tdk Bisa Di Setting Sub nya",4,sdh bagus knp bahasa indonesia ubah inggris tidak setting sub,bahasa atau cerita
"Halo kak, ini setelah update kok jadi ngelag-ngelag ya padahal koneksi internet bagus saya pakai WiFi masih ngelag juga Telkomsel juga sama tolong perbaiki ya kak.",3,halo kak update ngelag ngelag ya koneksi internet bagus pakai wifi ngelag telkomsel tolong perbaiki ya kak,koneksi
"Habis update story modenya suka blank, jadi gabisa nikmatin alur ceritanya deh. Sama pengaturan bahasanya sebaiknya diberi pilihan untuk bahasa inggris dan Indonesia",3,habis update story suka blank gabisa nikmatin alur deh atur pilih bahasa inggris indonesia,bahasa atau cerita
"Gamenya bagus ,tapi kok tidak bisa di ubah ya bahasanya?",5,bagus tidak ubah ya,bahasa atau cerita
"Bagus gamenya, saya harap kalau ada tiap update baru bisa lebih nambah banyak fiturnya seperti PVP,battle rangked, bisa berinteraksi sama Atma kita sendiri. Dan tambahan di main story suka ada pilihan cerita kalau bisa itu dijadiin bermacam2 endingnya ya🙏 atau GK dari setiap pilihan bisa ngaruhin dapet kekuatan Atma kita tergantung dari pilihan kita biar menarik🙏 terserah developernya sih tapi saya harap developer bisa membuat banyak fitur di game ini yang menarik🔥🔥🔥",5,bagus harap update nambah fiturnya pvp battle rangked interaksi atma main story suka pilih cerita dijadiin endingnya ya tidak pilih ngaruhin kuat atma gantung pilih biar tarik serah harap developer fitur tarik,bahasa atau cerita
"Setelah update saya tambah suka sama grafisnya tapi sayangnya yang awalnya bahasa indonesia malah jadi bahasa inggris ,dan di pengaturan tidak bisa diubah ke bahasa indonesia lagi jadi saya cukup kecewa",3,update suka bahasa indonesia bahasa inggris atur tidak diubah bahasa indonesia kecewa,bahasa atau cerita
"Bagus , tapi bahasa gabisa ganti",5,bagus bahasa gabisa ganti,bahasa atau cerita
Kali komen ini dijawab Dev tolong tutorial jangan kebanyakan. Terus pas download lagi akun yang dimasukin salah tutorialnya kebanyakan jadi ga ganti aku. Terimakasih,5,komen dev tolong tutorial pas download akun salah tidak ganti,bahasa atau cerita
"Masih ada bug nya, quest mingguan nya masa berakhirnya 7 hari lagi padahal saya baru masuk dan belum menyelesaikan quest nya",3,bug quest minggu masuk selesai quest,bahasa atau cerita
I'm proud of my country's local culture.🇮🇩 Thx for agate games for this amazing game,5,proud country local culture thx agate games amazing,karakter gacha
Game yang sangat menarik namun kenapa langguage nya gak bisa bahasa indonesia ya? mohon bantuannya,5,tarik langguage tidak bahasa indonesia ya mohon,bahasa atau cerita
