X,y
kak karakter manusia harimau tidak,1
rate gacha ditingkatkan cuman nol koma kian doang atma,1
bagus bantu dukung indonesia kembang tingkatkan kualitas minggu full gatca tidak bintang even dibuka gatca sampe bintang tidak dpt aneh,1
moga update kali bahasa indonesia hadir,-1
suka error pas tolong diperbaiki,-1
mantap djiwa indonesia kalah overall keren saran dikasih voice biar krasa,1
bagus ya atma tidak naikkan atma level,1
programmer gamer main percaya dev indonesia tidak tinggal dev ohh btw masuk bahasa bahasa inggris please inggris omelin dosen apps pake bahasa mwuahahahaha,1
seru tidak offline main lawan computer novel alur main multiplayer,1
animasi backsound story ya bagus coba dijadiin animek v tidak pay win effect bagus,1
karya anak bangsa respect,1
keren parah harap kembangin dn stiap atma story atmanya tampilin biar keren cman api aj dn stiap adegan action moment kasih klip gambar biar cakep dn ekspresi karakter suai dialog biar story hidup battle cakep harap karakter battle ntar dn animasi sdikit keren jamin super keren,1
broken download tidak masuk update new version tidak update payah dah,-1
suka nge freze masuk jaring kuat coba perbaiki,1
bosan animasi maen tidak belah tutor bentar bet unnistal grafik oke,-1
geme keren lgi colab death note min,1
seru bagus jalan cerita bagus suka si noni xd,1
segi cerita mantep saran pas atma ngeluarin skill keliatan burik dibenahi tolong atma kek pandawa arjuna ya kali tidak abang adeknya puntadewa xixixi saran atma pas make skill kasih suara atma biar realistis,1
bagus cman koneksi bnget putus diakhir,1
main seru alur cerita tarik sasar ultimate dikontrol player,1
keren suka banget horror lokal suka banget pengen nyari gini makasih banget deh agate sukses develover lokal tidak kalah seru lokal,1
sumpah seru banget tau kisah kisah atma pokoknya dabest banget deh seru,1
indonesia banget campur horror mudah mudahan tolong tarik ya,1
pas main layar hitam nunggu layar hitam,-1
ya mending tunggu daftar server indonesia tidak cuman saran diganti bingung main bahasa english sia sia bagus baca tidak paham tambahkan bahasa jepang korea dll english paham,1
min kadang suka ngfreeze gamenya bagus banget si tidak nyesel download tidak sbr nunggu chapter semangat minn,1
tolong atasi main sinyal kian terima gaji,-1
telkom agate tidak bener niat ngembangin,1
bagus saran gerak biar tidak wayang cerita unik tarik dimainkan,1
tunggu bahasa indonesia ato hp ak aka setel bahasa indonesia ya paham bahasa inggris males otak nge translate indonesia,1
bagus serem donk tidak bosen thanks sukses code,1
bagus kn banyk urbanlegen diindo fitur tuker hero jual hero slot,1
kadang suka lemot bgt pdhal sinyal wifi hp ya oke,1
perfect dah pt agate bandung jawa barat indonesia,1
seru tidak berat hp semangat update kedepannya min thank,1
film animasi cerita grafik animasi keren agate menang awards,1
tolong perbaiki koneksi bintang,-1
bagus banget lag hp ram kebawah kadang suka stuck loading pas upgrade atma moga salam sukses code,1
susah level hero kalah hero level rendah aneh,1
bagus kesemsem kalok ditambahin cerita atma kalok penasaran cerita usul atma baca,1
tidak serem serem keren keren hantu jalan cerita bagus cuman kesel kadang tombol tidak pencet bug sebener recommended banget cuman ya grafik bagus banget pokok recommended banget deh salah indonesia mobile ter,1
keren banget suka bangetsewaktu download visual real banget hiro unik efek bagus ak suka banget,1
grafik pas mantap fitur bind facebook google,1
lemot masak tidak jalan lodi muluk bagus lemot,-1
overall gem okeh bintang tidak sempurna kecuali tuhan,1
grafik jalan bagus uninstall install stuck halaman login klik login login akun teus masuk stuck halaman tolong,1
sinyal jelek banget main pubg bagus ngeyutube bagus main belah afk bagus cuman sinyal parah bedain musik disamakan looby kena blackscreen hah parah parah diperbaiki min dah diperbaiki bintang,-1
salah mainkan moga best,1
habis instal ulang mantep lur,1
rusak tutorial emosi klik klik tidak ap ap ngestack tutorial tolong bikinin fitur skil tutor ngemtot,-1
tarik gameplay oke overall nice,1
hapuss aplikasi akun dilog date hilang disuruh,-1
bug error perbaiki update,1
bagus ngarah hantu horor horor indonesian ya leg hp tidak ketolong bagus banget,1
baguss next kedepan tongkatkan kualitas,-1
tarik langguage tidak bahasa indonesia ya mohon,1
bagus cuman grafik tolong smooth kaga power saving tpi ngeframe loading engine tolong loading mie rebus suport jaring provider telkomsel laju koneksinya stabilkan frame ganggu pas cerita loading lelet stonk uninstall gamenya,-1
adain pvp adu atma main biar seru tambahkan add friends,1
ganti bahasa indonesia kak,1
keren pas tutorial duyung tidak,1
anak bangsa enjoyable segi gameplay design etc overall keren main koneksi tidak stabil normal saran sistem dungeon fitur dungeon ulang tunggu reset dungeon misi minggu kejar cepat overall good work agate team,1
ya tidak dibuka stuck loading padahap dah switch wifi seluler tunggu menit tetep tidak versi android dll dah penuh,-1
saran developer sambung chapter lupa hehe kali fitur teman buru update oke kian,1
bagus dapatin dm mudah susah rate gacha jelek,-1
bagus salut good moga download,1
tidak masuktetep stuck loading screen gambarnya telkom sedih banget,-1
visual bagus banget monoton,1
tidak masuk ya update emang hp emang tolong,-1
kk nyari kode redem ikuti web fb ko tidak share kode redem belah kadang seminggu liat share kode redem bantu player maaf maksud menjelekan player kk kode remdem,1
oke tolong perbaiki bug koneksi alam stuck battle,1
bagus story gameplay musik karakter bagus tidak selesai match sulit lawan match hadiah kembang atma,1
bagus si loading pas,1
bagus direkomendasikan kasih saran kaya sound efek battle sound atma,1
alur cerita bagus pergeraka karakter efek,1
beberpaa gacha gratis arjuna ditambahin rahwana,1
suka gagal koneksi jaring bagus tolong update jaring min,-1
hero keren keren alur cerita seru bgt,1
yaa dev nungguin hahahha tau hantu indonesia tarik paranormal ditunggu tarik,1
tidak mainkan instal pas masuk layarnya hitam cma suarany auto pindah belah,-1
nice indonesian idle rpg,1
bagus banget suka alur penasaran intinya rekomended banget orang orang ny seru penasaran developer lokal best tagih brp jam tagih tagih ajar ya guys lupa ajar main lupa luang seru seru bagus bagus yuk download developer indonesia lupa ajar jaga sehat,1
mantaps dev indonesia keren,1
chapter susah xp atma pelit banget tidak imbang gameplay nyusahin player kapasitas atma dibatasin diupgrade kapasitas mahal pelit late bingung,-1
bagus diringankan levelnya keatas,1
enak seru kesini bug sok bundle mahalmahal gilir event ampun update bgt bug dibiarin aj tidak urus pdahal lokal tidak ramah uninstal cape,1
admin fast respons tanggulang harap code atma,1
bagus kalok dijadiin kayak pokemon go karakter karakter code atma keren,1
maaf bintang bug animasi transisi klik jd lemot cerita tidak,-1
kasih sarannya code atma bersih cache,1
nice tidak kalah mantap wes tinggal even dev atma fitur guild chat semangat dev,1
apk tolol download file qok bolak msk lg gtu kpn selesai ampas anjir,-1
bagus banget storynya niat susah grinding item tantang tau cegah ngecrash tidak device gereget jarang banget pas jalanin story thank sebagus,1
best gameplay soundtrack feels amazing love,1
rpg grafis lumbago bagus,1
permisi kait account diizinkan ya mohon perbaiki,1
bagus banget gamenya alur ceritanya tegang yah digantung lanjutin oh iya lupa kenal salken seeker namaku riki aing cewek cerita code atma cerita kedepannya seru tegang semangat kakak developer ganbatte,1
keren bilang fgo indonesia next karakter story tambahkan motion battle biar kaku karakter laku attack,-1
update versi code atma kali error sebatas login tidak main menu lapor discord seeker,-1
keren pas ngaitkan akun google mala eror kebanyan bug moga pas update smoga,1
bagus tarik ditingkatkan posisi hp horizontal,1
bagus sound effect skill karakter skill pecah overbass tolong sfx char nara ganti annoying banget wkwk overall best kadang deg degan,1
lumbago asyik play kadang suka stuck loadingnya tidak stabil relog jalan oke semangat tolong perbaiki,1
suka banget musiknya keren gameplay gampang dipahami tarik pokoknya keren dah rekomened hp kentang entry level ya bagus lag sukses tim dev,1
bagus cari gold bahan rank susah peti tolong perpanjang maksimal jam utuk hero bintang tukar hero bintang banding banding banding,1
keren banget tidak nyesel download crita strategi gambar baguss,1
angkat mistis cerita indonesia bagus,1
bagus kawan wangi kandita gratis terima kasih,1
download rec temen selesai menginstall nge stuck tulis oolean tidak masuk coba reinstall hasil,-1
bagus alur cerita atma keren suka semangat kembang,1
tutorial tidak klik tidak skip blom main cacat,-1
grafis bagus fitur atur grafis tidak tolong atur grafis fps,1
bagus stroy mantap beast radak susah bagus tpi sabar ae,1
bagus mending jalan cerita episod bettel utama lock seru jalan ceritanya bukn cerita doang pas,-1
tdi download trs ngegacha kandita bintang mkasih min tpi hps lgi tidak home,1
mantaaaapp betull aslii seru idle kaya dri indonesia semangat truss kaa,1
tolong hadirkan fitur reset atma,1
rpg favorit semangat kembang,1
ramai banget utama jalan cerita penasaran semangat,1
sampah download ngabisin set jam tidak server tidak urus payah sumpahhhh nyesel download,1
ka gimana update update stak bonus,1
download rating coment kayaknya bagus lokal suka asli indonesia gini kasih apresiasi semangat ngembangin,1
karakter okelah cmn gameplay karrna fight cast skill loot dikit labyrith tower kesan kalah jenis,-1
sumpah seru banget gampang banget hantu indonesia pocong kuntilanak hantu revolusi loh sumpah seeeeerruuuu banget,1
indonesia keren abiess tolong ya min goldnya susah susah males sial nunggu ber jam jam story keren mantap abiiezz,1
mantap gan kaku tarung tambahkan background musik serem perang pilih bernuansa indonesia btw pengen liat karakter garuda uwu semangat,1
keren bagus karakter keren keren jenis idle,1
keren jalan cerita indonesia banget,1
ajh anime jadiin anime bagus suka banget alur ceritanya mantep dah,1
seru banget asyik variasi atma tidak ngebosenin saran mohon adakan fitur reset lv hero crystal kek afk mantul,1
tolong tambahkan karakter raja indonesia zaman kek hayam wuruk ken arok raden pattah,1
efek hero gerak min,1
bagus currency tolong permudah currency,1
dg grafik voiche chatnya tidak tingkat grafik utama animasi karakter,1
sederhana nagih design hero keren plot lumbago kuat gameplay addictive cuman loading time dikit far good,1
senang n sampe mainin bergna kasi chapyer pls,1
bug storynya dibenerin ya dev,1
beuh nama indonesia suka cerita horor main ketagiah penasaran selanjut developer harga cash tolong murahin asma lvl seharga rb biar ramai main cerita persis kaya nyata atma sukma,1
bagusss bangettttt tolong cepat update bahasa indonesia,1
bagus tolong diperbaiki stuck pas buka char kadang loading stuck abis kelarin story,-1
kak gratisin atma niat main,1
proud country local culture thx agate games amazing,1
respons developer cepat mantab maju bro insyaallah topup blum brani bro msih bnyk bug tingkatin ya overall bnget,1
bagus keren knp ya hape asus ram aga ngelag,1
tarik sukale ambil tema anak indigo melihara setund gelud setund si setund jelek keren kunti muka ancur sange dll keren bet moga sukses depeloper kembang oke,1
bagus bgt cm nama idle ya,1
mantab sesi claim efisien animasi atma tarung ditingkatkan know easy semangat developer apreciate guys,1
standar cmn kliatan low quality gameplay simple typical roleplay tidak unik cmn dikasi opsi milih target biar lbh tactical tpi sya cantol tarik kisah main utama dalm dunia fiksi team dev critanya jga jalan plot gamenya ttp prthanin deh critanya perbgus jga tmpilnnya kian trims,1
dicoba trimakasih respons developer cpt sukses trs ya,1
gamenya keren indonesia sip deh,1
keren top kembangkan kendala masuk aplikasi cek koneksi koneksi internet edit terjawab,1
keren banget khas indonesia matul,1
bagus cuman pas main banget forse close susah main clear cache tetep tidak,-1
keren update bug tetep main mnt berat gerak patah next update dibenerin yo ditunggu rahwana,1
kakak main tidak pake paket paket say pakai habis seru mengigatkan ddngan komik mangatoon paket sayavtermakan kak,1
bagus anak negeri mudah alur cerita mudah dipahami gokil backsound music gamenya betah,1
keren njir epic kyk setan suka gacha tolong min hp tidak diubah kebahasa indonesia tolong perbaiki ya min tunggu updatenya arti tidak bahasa enggers ya min kesan indonesia hilang semangat karya,1
kembangkan karakter karakter asli indonesia klw kayak gundala godam karakter pahlawan seru hehehe,1
mantab semangat developernya maju,1
wahhhh gilee update bantu ditunggu update kembang yaa haha,1
bagus story line tarik dibawa hanyut kedalam force close mohon tingkatkan lg kualitas slain uda mantap tidak nyangka indonesia bgini oh iy char atma jd animasi skedar gambar,1
bagus animasi gerak heronya animasi perbagus,1
bener bener horor tidak pake wifi cuman dimainin pas jam malam doang pas nyelesaiin chapter muncul new version available cek play store tidak update dimainin ketutupan burem tidak enak gacha bintang knp sura disynth sura bintang bagus resource offline bantu banget panel gaje ganggu je,1
gini anim indonesia w support dah,1
keren restart hp cepat masuk gamenya tidak stuck kaya kemaren konsep keren konsep mode sweap battle player nyari item cepat tidak nunggu battle ulang ulang sistem reset lv player mudah gold exp atma daur ulang hero tidak kepake telanjur upgrade lvnya oke moga kembang,1
semangat kembang ya akuin bagus bug moga keren animasi,1
error pas download pack jaring bagus,1
bagus indonesia tidak bahasa aneh hadehh,1
sllu failed lodiang buang kuata jah tlong donk prbaiki,-1
asyik geme ya onlai geme cocok main mod busan seruuu de,1
bagus banget gameplay cuman tidak narget tidak random target dipilih tidak doang oke suka,1
bagus tagih saran kendala bahasa,1
pas baca nama nama adma rinding njir pas gacha karakter keren kawaii agate games developer indonesia saing kanca internasional,1
bgus banget tidak switch akun pdhl pindah akun,1
anjir kaget ubah seram jam malam keluarga ngumpul,-1
bagus keren story best,1
bagus saran diperbagus dah,1
susah cari bahan ngambang hantu atma tetep seru penasaran kasna olang atma anu,1
keren seru banget suka art keren!,1
bagus bintang sfx pas tarung dikecilin min hehehe,1
adain atma bintang atma summon pake atma synth potret landscape,1
saran developer tolong utk kasih jeda detik biar efektif ngeluarin jurus andal karakter bagus alur seru unik suka bintang nnt,1
grafik oke alur mantab bagus banget dah love indonesia,1
kak atma elemen tanah bintang sulit lawan atma elemen air gamenya tetep bagus,1
bagus fitur bahasa respons lambat tolong diperbaiki,1
suka alam horor indonesia tarik gacha bagus mudah level topup murah perbaiki lag black screen spek simpan mohon diperbaiki semangat lupa tambahkan update bagus,1
jalan cerita bagus tarik semangat keren mantaplah,1
bagus banget pas bintang atma level turun tolong levelnya tidak turun bagussss banget mla cerita legenda indonesia kereeeeen,1
lumbago suka visual novel cerita keren banget cobain deh kawan,1
tidak dibuka habis tutorial lgsg forse close,1
tarik ukur saji tambahkan fitur khas,1
keren kak hape ram gb nyoba tidak gilir gb gimana si,1
bagus warga indonesia ya support karya negeri smngt,1
bagus reconnect trs pas reinstall tidak dibuka stack,1
tidak jelek cerita tolong karakter atma ditambahin animasi seru,1
anjiiiiiirrrrr parah bagus baget gilaaa donwload,1
bagus tarik lumbago semangat berinovasi,1
tipikal gamer rpg cuman jujur nagihin heroku gatotkaca mas kuda sembrani agni,1
bagus koneksi jaring kadang tidak masuk jaring bagus banget hmmm oke enjoy,1
halo saudara atma keluh tidak akun google tersambung agate tekan izinkan perzinan baca info laku login ulang berkali kali dibantu bintang,-1
kecewa jaring tolong perbaikin cepat ny thanks seblm ny,-1
stuck logo doank download rugi cokk anjingg coba wifi data coba apk lancar jaya doank mb stuck nyalain tidak liat apk,-1
bahasa indonesia dah dah bahasa inggris tidak settingan ubah,1
indonesia bnget grafik ngk kalah,-1
seru banget rugi tidak downlod coba,1
bagus banget alur cerita lumbago kerasa visual keren tambahkan animasi battle atma animasi basic attack skill jenis tambahkan motion character storyline lihat bagus alam main apresiasi anak bangsa bulat citampi story lokapala dll masuk code atma masuk kritikkan,1
kasih team suka thank moga tidak bug bahasa please,1
sumpah si dah delay bangett gabisa dibenerin ap,1
maen tpi tulis telkom indonesia agate gma ya solusiny emang hp smarfrent ganti simcard main,1
bagus laku update bug homescreen reinstall aplikasi paksa ulang mohon developer bug terima,1
enak dimainkan ditambah alur love produk indonesia,1
bagus konsep tarik gameplay ringan seru dimainkan,1
help min binding gimana tautkan gmail fb akun code atma ttep binding,1
stuck black screen switch jaring wifi data ttp sma diemin jam ttp,-1
tunggu update update moga tidak kaku btw luarbiasa deh kembang dev edet tidak kembang signifikan event upgrade atma enchant senjata mahal profit current tidak banding disisi kaku tidak gerak turun kek baloon,1
oke masuk alur cerita grafik masukkan tolong perbaiki jaring suka lost server,1
coba kaya keren games orang indonesia asli,1
update versi dimana gagal masuk wifi masuk layar freeze notif content error device,1
mantep banget grafik bentuk karakter suka dimensi ya nambah cerita rakyat kembang gacha adil harap chapter,1
bang dev berp size najya download,1
butuh banget sinyal bagus sinyal jelek masuk lamaaaaa tolong claim hadiah buka muncul klik oke ganggu tolong lihat idle legends tidak makan ambil hadiah chest nama karakter nama plesetan nama karakter hantu asli malem serem pocong poci,-1
update gacha tidak stiap gacha susah ngumpulin gold lv chapter keras tower mentok dichapter hero vs kalah relase download baguslah gameplay cerita novel kecewa maaf unsinstal thanks,-1
main saranin selesaiin episode episode chapter begin wajib ambil diamond ketuk episode campaign ambil diamond nyelesaiin episode episode ambil diamond tau episode tidak ambil nyesel banget panteeek,1
bagus banget indonesia pride loading homescreen dll semangat developer indonesia,1
loading jdi hbs nunggu,-1
gameplay bagus rekomendasi banget kadang kadang force close tolong diupdate,1
suka servernya belom stabil masuk stabilkan,1
bagus sulit maklumi tolong power atma lawan story dibikin logis masak level bantai level logiskan masuk rate atma bintang summon tolong masak kayak mustahil banget,1
seru gravik oke beda keren ambil tema atma indonesia semngat kreasinya tingkatkan tolong kasih mode jual atma biar tidak numpuk atma tidak kepakai,1
efek bettle mihin dikembangin,1
keren seru hantu legenda indonesia,1
bagus tarik cuman moga update karakter mitos lg biar tidak bosen mainin,1
aplikasi bagus akui bagus uang k akn investasi tpi nyata yahh v tpi tentuny butuh kembang fitur auto deploy cepat char event kesan pikirkan main main tidak x close misi kupikir bagus sihh dewa nordik olympus temanya nusantara rugi batas,-1
bagus alur kagum enak diikuti bug tebar berat animasi skill atk interface tarik saran skill animasi voice atma opsi interaksi atma suka tampilan atma tidak tampilan battle dah,1
maaf tidak nsuk internet lancar wifi lancar tidak masuk,1
bagus tidak kuat hp maaf ya bintang,1
tarik cuman kasih saran lawan bos atma kuat ilah hero support mudah cuman ulas bagus,1
keren loading alur cerita tarik coba jadiin komik animasi keren,1
mantap kali feature skip battle mode detik battle,1
dukung developer indonesia segi alur cerita lumbago bagus atma hero imbang skillnya unik mode tidak bosan main labyrinth tower kritik loading lambat jaring reconect nyaman saran suai skill atma pickrate rendah tidak lihat atma overpower kembang,1
ganti anjir bhs indonesia dah knp bhs inggris,-1
keren sayang frame drop lancar segi gameplay karakter bagus banget,1
suda desain utama suka dengar suaranya pas muncul cap selesai cap ya ambil peti lag diambil,1
bagus banget bintang panggil nyangku bintang moga dimudahkan dalan raih hero bintang kaditaa arjunaa,1
developer agate bawa nama developer indonesia dunia terima kash,1
suka karakter atma tokoh hantu seram uwu noni karakter yandere,-1
assalamualaikum bilang bagus pake banget download buru download ragu dijamin bagus seru banget,1
noni jojo referenc indonesia,1
suka dngn indonesia karakter,1
story music gameplay art bagus tidak mereset atma lv v atma diretire lv atma new contoh shinta lv ganti arjuna resource upgrade retire dimana dpt resource dipakai upgrade nyata banget moga next update reset atma,1
dipercepat chapter bosan chapter selesai tuntaskan bagus,-1
susah banget login akun error mulu ilang mood main,-1
keren banget syg bug smngat ya bangun develops,1
tinggal pake animasi gg gaming,1
ya tunggu updatean harap bagus,1
keren banget suskse utk devolopny,1
tambahkan fitur event tarik,1
tarik simple atmanya suka latar cerita penasaran baca tolong notif update play store tidak update tolong hilangkan ganggu jalannya main tunggu update,1
bagus banget tidak rugi download best,1
nemu code atma suka bgt indonesia top karya anak bangsa cuman monoton idle moga tim developer character semangat indonesiaku,1
seru banget khusus pecinta rpg idle karya anak bangsa,1
kasi bintang ditambah utama efek skill atma banget,-1
jalan cerita lumbago bagus diamond rate rendah player susah kembang,-1
bagus saran atma ulti ikan suara atma terima,1
suka banget mitologi mobile folklor nusantara,1
great ingrtin nusantara droid war,1
bagus min makan ram lemot banget animasi dibikin hidup,1
bagus bagus banget audio epic plot seru tidak nyangka karya bangsa sebagus cuman kadang pas mode labirinth suka stuck pas pilih level,1
bagus lambat emang fokus gimana tidak tau hp kentang leg mainin jdi males main,1
maaf atur setting ulang tidak yah utama bahasa inggis tidak setting tolong settingan upgrade ulang,1
dev gim lsg nge bug pdhl donload hrs update lwt play store tpi tidak mohon tanggapanya dev,-1
bagus suka tpi knp gagal login ya muncul tulis gagal sambung server,-1
gokil bagus banget rpg,1
halo update ya minggu update tetep bug lag gameplay patah patah chapter seakan tidak dilewati power boss tidak dimenangkan mah kecuali player top tolong fix ya,-1
tolong pertimbangkan fitur reset atma sayang banget gold dipake upgrade susah payah ilang retire,1
bagus download update dalemnya tidak diluarnya download update gabung pas update dalemmya failed connect abis tulis aset bundle preloading failed terrus tolong perbaiki yah,1
gamenya bagus ui beda optimal bug btw spin hanuman bintang,-1
seru dimainkan control mudah grafik mudah development,1
tingkat alur seru penasarann,1
fitur clan guild club kek chat global sepi bener kagak pamer atma,-1
vakum download feel tetep tidak pelit story ny kembang,1
bagus tu black screen habis story tidak story ya lancar tidak lag ram,-1
bagus kurangi loading min,1
atur bahasa kagak diganti ya,1
habis updt bahasa tidak dimengerti males main,-1
good suka banget sound desain atma bagus banget semangat developer moga sukses,1
bintang deh penasaran cerita makadari mainkan seru cerita penasaran pokok e jos omong level,1
bagus kendala selesai tutorial black screen tidak pencet,1
suka sayang bahasa hilang paksa bintang,1
stabilitas koneksi cermin produk nyempil noob provider,-1
gacha ampas mulu bagus banget,1
keren gameplay karakter keren gatotkaca aowkaokw overall bagus,1
seru banget upgrade mudah,1
good moga alur keren,1
wajib support karya anak bangsa,1
bug update salah beranda,1
kagak log auto uninstal,-1
hp bug tidak tautin gmail,1
nyaman hibur anak anak,1
overall oke banget storyline bagus banget developer disedian tombol claim quest simple useful,1
pose jojo pas ngeluarin atma xd,1
idle ter kreatif icon tolong diganti pake expresi ahegao mrinding njirr,1
gameplay seru bgt tarik kadang suka lost connection bagus,1
main stuck gabisa tarik nyoba,1
keren indonesia kali kenal lokal haha,1
bagus suka grafik bagus dah oke mantap download tidak nyesel kian,1
tambahkan hero tambahkan animasi skill hero ramai indonesia,1
jelek play user milih beda rute beda pilih rute cuman main story gamenya baca skip story bagus user feedback tidak mempengaruhi alur jelek tidak user feedback tidak feedback,-1
gg keren banget gilaaa maaf ya dev bilang ngecrash tarik banget penasaran,1
bagus banget anak bangsa ketemu kendala tibatiba buka apk b inggris ubah tidak tekan tolong kasih main b indonesia biar paham alurnyaa,1
baguss angkat budaya budaya lokal terimakasih developer sebagus moga chapter disegerakan localpride,1
ganre permajnan kartu tarik mainkan main angkat legenda indonesia good job dude aprisiasi pandang positif lihat tidak buruk seram nama player muncul teks cerita sensasi cerita teks typo narasi cerita jaga sehat berkaya ya,1
good ramah free players,1
bagus alur ceritanya keren perbaiki lgi haha jaring bagus tpi lag maju truzz indonesia,1
bagus bet visual dikembangkan,1
bagus nge gacha tolong tingkatin rasio ngegacha ampas mulu thx developmen,1
mantabbb saran banyakin atma bintang ajah si seru tidak kalah belah,1
keren banget referensi tokoh tidak main main karya,1
bagus si ukur indonesia main ganggu nge freeze update pdhal update,1
suka banget mudah lvl gausah top,1
suka mohon ditingkatkan kadang hp lambat tidak disentuh moga update maju,1
bagus suka tidak sediakan bhs indonesia mohon sediakan ya ka,1
bagus ditambahakan tinggal ekspresi karakter jalan va karakter tambahakan mitos atma mitos mitos buka enchanting atma maju tross,1
bagus kaya wayang pas main byk loading pdhl sinyal bagus kondisikan kak,1
seru episode tidak diklik ya chapter selesai,1
tau bilang bagus update,1
grafik oke lumbago pas tidak connect beh fps drop parah,-1
bagus welcome package khilaf,1
halo terima kasih tim agate jalankan,1
bagus andai gerak sungguh gambar digeser doank bagus bejibun saran usahakan mode monster serang sungguh gerak sungguh,1
maaf diturunin bintang tower pas clear level tidak ambil hadiah mohon perbaiki kak,1
bagus tunggu capter selanjut min mohon percepat enak pas baca alur cerita,1
5 ask opinion look star rating,1
main lancar kesini jd koneksi failed internet tolong tingkatkan lg kafi tidak,1
grafik oke cerita tarik tolong ngumpulin coin susah banget musuh level susah naikin lvl moga coin permudah,-1
bagus cerita oke tolong dipermudah gold farming event susah gold tower labirin tidak ckup gold mengenchance hero stuck lv krna gold story habis tolongg dimudahkan tunggu kembang,1
bagus tingkatkan lg kembang goodjob,1
min tolong kadang fps drop patah sinyal bagus devis redmi,1
kak tolong naikan lv power milik hero lohita lv naikan susah lawan hard struggling together lv,-1
serius nie seru mudah pahami pelan offline hasilkan sumberdaya mantappp kembangkan overall asyik,1
bagus segi gameplay tidak bosenin story bagus tidak suka item store pakai gold mahal bandingkan diamond masuk akal hadiah gold kadang dikit offline saru stat atma tidak balance tank def lemah dibandingkan sengan job tunggu update,-1
mantap min bagus tidak ngebosenin hehe,1
jaya add indonesia languange please free,1
dah download seru banget bbrp bug aneh kadang suka loading banget tulis failed connect login tombol susah dipencet tolong diperbaiki bikin indonesia asli tolong development perbaiki keluh pliz ya dah diperbaiki download hapus otakku panas gara gara loading oke,1
suka developer dkk tanggap keluh masuk moga best bangetlah,1
tidak bus masuk suka kyk nge gacha idle rpg tidak masuk,1
developer tolong karakter rama dijadikan bintang rama punyaku milik bahan bintang dikabulkan,1
kasih summon atma muncul logo banget jaring lancar jaya hp tidak kentang kentang mode lawan teman player banyakin mode tahnk develover,-1
login pake fb email kode verifikasi tidak kirim cek ulang kali gmail pesan kode verifikasi main dibikin emosi,-1
bintang boros kuota uninstall low iklan ganggu oba kaya mobile legend tidak boros kuota,-1
bagus tpi tolng update pakai bhs indonesia update nunggu bhs indonesia,1
paraahh banget indonesia seru banget nagih banget grafiknya oke visualisasi bagus banget tidak berenti gimana,1
idle indonesia bgt storylinenya gregetan abis ditunggu chapfer selanjutny,1
saran tlng perbaiki bagain loading habis attack attack loading makan bug attack musuh sebener ny bagus segi grafik top diskon ny cuman tidak suka loading ny ajah,1
keren bnget uninstall ya dev tunggu hp mainin ringan,1
jujur bagus cuman monoton ngelag diram gb kadang network error,1
jam update mainkan layar tulusan silakan update versi playstore blm versi jdi bingung abis ngisi survei gitu,1
semangat juang mu salut anak bangsa,1
dikasih voice tampilan interface enak tidak ribet tidak pelit perbanyak event dev,1
overall dah tolong fitur ganti bahasa,1
indonesia mainkan alur fiksi dialami masuk utk hero bintang tolong dipermudah ny level sulit lawan maklum cuman andal summon atma tidak pake cash beli atma hehe bagus good job agate,1
bagus tarik segi gameplay kadang nagih lho masukkan developer kasih multiple ending voice act ya kian,1
bagus bang tinggal servernya kadang delay gacha,1
bagus gimana ganti bahasa indonesia ya,1
bagus event mohon perbanyak mohon percepat,1
hikd pen nangis rasany gameny cool bgt woeeee,1
oke ganti bintang sdh bertanggung tanggap respons player apresiasi,1
bagus dukung bug stak login kendala dialami player code atma mudah serah moga cepat selesai harap maju kembang,1
gameny bagus bangget hantu indonesia ubah gampang suka jam tanggal bagus diabgret layar tidur biyar enak oke kian comenana nama seno ardia putra terima,1
bagus kembangkan yah senang suka,1
keren cerita bagus tidak ketemu bug cool,1
update sdh lbh harap bs interaksi dg shaker tidak bosan ngegame,-1
saran mudah combo buff dimiliki atma sulit nentuin atma skill speed def dll thanks,1
kemarin error coba install ulang progress akun reset solusi,1
tagih seru lawan mudah,1
gilir penasaran pengen main gabisa login anjinggggg emang,-1
maen lag ya parah,-1
idle keren indonesia suka gambar,1
keren shin tensei nuansa local wisdom kental maju development lokal biar saing mancanegara,1
bug gamenya keren semangat developer kembangin code,1
dah bagus min tpi hp login account close yaa,1
dibagian vertifikasi gmail tidak pesan isi pin veritifikasi daftar,1
story bagus gameplay oke grafik lumbago kaku bintang lg biar dev semangat update,1
tidak ganti bahasa bahasa indonesia ya ngenganggu banget lg story,1
temen ngopi pas istirahat pulang kerja story asyik,1
plisss kasih bahasa indonesia kultur indonesia bahasa indonesia bumbu,-1
nice gacha rate bad lol,1
dimainkan masuk check connection bug support dev indonesia gamenya tidak buka streaming,1
bagus berat hapeku kentang wkwk,-1
anime persona awesome bro,1
woy permisaaaa untung gatotngetot,1
suka code atma rekomendasi bintang sampe sm bintang ya,1
masuk atma negeri ikutin biar main tidak anak indonesia lebi luas,1
bagus tarik btw kpn ya episode nongol kpn diperbaharui ngumpulin diamond ehh gacha gda tinggal arjuna sdh arjuna,1
sistem utk rebirth donk gan cari gold xp utk heronya seret banget,1
development tolong buka fitur,1
bagus graphic bagus event tolong perbanyak,1
coba main seru gamenya moga kedepannya alir tarik karakter atma development nice,1
